"X","platform","seed","Npar","delta.target","time.warmup","time.sampling","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.sampling.time","samples.per.time","time.total","model","mean.efficiency","sd.efficiency","median.efficiency","lwr.efficiency","upr.efficiency"
1,"jags",1,66,0.5,0.170000000000073,19.4300000000003,143.495986085082,3860.48827599954,10000,190.737381454207,0.999900079526732,1.00313539248746,1.00007523773112,NA,NA,7.38527977792488,7.32122377985101,19.6000000000004,"growth_nc",8.16737604960614,2.6296397766468,8.1148480807784,5.30690419945546,12.0530670243985
7,"jags",2,66,0.5,0.170000000000073,19.3000000000002,173.447957271814,3530.72912251471,10000,175.345680843549,0.999899995892573,1.00166165185876,1.00000386985623,NA,NA,8.98694079128562,8.90847238170579,19.4700000000003,"growth_nc",8.16737604960614,2.6296397766468,8.1148480807784,5.30690419945546,12.0530670243985
13,"jags",3,66,0.5,0.170000000000073,19.3699999999999,107.778086169514,3516.23866999058,10000,149.856106241658,0.99989999556563,1.01030810781733,1.00015067206035,NA,NA,5.56417584767759,5.51576694828631,19.54,"growth_nc",8.16737604960614,2.6296397766468,8.1148480807784,5.30690419945546,12.0530670243985
19,"jags",4,66,0.5,0.170000000000073,19.2200000000003,191.938157880795,3452.79088755851,10000,151.580608936095,0.99990070713251,1.00667479074782,1.00024250178069,NA,NA,9.98637658068638,9.89882196393974,19.3900000000003,"growth_nc",8.16737604960614,2.6296397766468,8.1148480807784,5.30690419945546,12.0530670243985
25,"jags",5,66,0.5,0.180000000000291,19.29,103.325424763399,3638.40304314667,10000,208.399275744236,0.999900093102201,1.00793860191842,1.00013442308852,NA,NA,5.35642430085015,5.30690419945546,19.4700000000003,"growth_nc",8.16737604960614,2.6296397766468,8.1148480807784,5.30690419945546,12.0530670243985
31,"jags",6,66,0.5,0.170000000000073,19.1999999999998,233.467908262597,3770.1378131476,10000,202.386518061392,0.999899995086678,1.00239310091914,0.999994185210932,NA,NA,12.159786888677,12.0530670243985,19.3699999999999,"growth_nc",8.16737604960614,2.6296397766468,8.1148480807784,5.30690419945546,12.0530670243985
1,"jags",1,66,0.5,0.170000000000073,30.6499999999996,124.950179574094,3607.7152534823,10000,182.211437186861,0.999900235033691,1.00873849226071,1.00000196821406,NA,NA,4.07667796326575,4.05419142031456,30.8199999999997,"growth_nct",5.63676389839341,0.845225434757879,5.81849527935601,4.05419142031456,6.49164611721217
7,"jags",2,66,0.5,0.170000000000073,30.3999999999996,175.363776740087,3693.56199840478,10000,188.426798861532,0.99990001194792,1.00159843365068,1.00002260250348,NA,NA,5.76854528750294,5.73646636375823,30.5699999999997,"growth_nct",5.63676389839341,0.845225434757879,5.81849527935601,4.05419142031456,6.49164611721217
13,"jags",3,66,0.5,0.170000000000073,30.5499999999993,199.423368720754,3512.82979911656,10000,181.495663455308,0.999900236784062,1.01570107968084,1.00015017664819,NA,NA,6.52776984356001,6.49164611721217,30.7199999999993,"growth_nct",5.63676389839341,0.845225434757879,5.81849527935601,4.05419142031456,6.49164611721217
19,"jags",4,66,0.5,0.170000000000073,30.6999999999989,189.164285869419,3495.80905852168,10000,158.537233883756,0.999900216260268,1.00359696072683,1.00007587121937,NA,NA,6.16170312278259,6.12777084125122,30.869999999999,"growth_nct",5.63676389839341,0.845225434757879,5.81849527935601,4.05419142031456,6.49164611721217
25,"jags",5,66,0.5,0.170000000000073,30.6499999999996,181.854155688474,3707.0336464903,10000,177.083191493074,0.99989999504996,1.01134998563905,1.00000919593304,NA,NA,5.93325140908568,5.90052419495379,30.8199999999997,"growth_nct",5.63676389839341,0.845225434757879,5.81849527935601,4.05419142031456,6.49164611721217
31,"jags",6,66,0.5,0.18999999999869,30.8400000000001,170.974817572566,3586.60103668827,10000,165.317666790067,0.999900006249856,1.00119201301909,0.999967350329006,NA,NA,5.54393053088731,5.50998445287051,31.0299999999988,"growth_nct",5.63676389839341,0.845225434757879,5.81849527935601,4.05419142031456,6.49164611721217
1,"jags",1,66,0.5,0.170000000000016,10.09,100.099396137019,262.783318027565,10000,114.563721782857,0.999900103782553,1.00645918429806,1.00203261693626,NA,NA,9.92065373013067,9.75627642660998,10.26,"growth",10.8780217695205,2.7780487539355,10.0112018482366,7.8273897063945,14.3919834916469
