"","platform","seed","Npar","delta.target","time","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.time","time.total","model"
"1","jags",1,1101,0.5,22.4100000000035,6.22040389540232,1411.17263635059,2000,5.39636470583291,0.999499875270072,1.11797824477463,0.999931109064204,NA,NA,0.277572686095553,22.4100000000035,"wildflower"
"2","stan.nuts",1,1101,0.8,145.290000000008,14.4587922286271,2000,2000,12.3028813606692,0.999499875026512,1.05154540721996,0.999695812926221,"diag_e",0.0830898128141653,0.0995167749234379,145.290000000008,"wildflower"
"3","jags",2,1101,0.5,22.2200000000012,10.5636248643966,1122.54731978678,2000,5.92856097398678,0.999499875262084,1.15640682887177,0.999919246412449,NA,NA,0.475410659963817,22.2200000000012,"wildflower"
"4","stan.nuts",2,1101,0.8,261.979999999981,11.5857378835619,2000,2000,15.5825168742404,0.999499876248968,1.01623239576071,0.999692029626774,"diag_e",0.0583379364973533,0.0442237494601217,261.979999999981,"wildflower"
"5","jags",3,1101,0.5,24.0199999999895,4.34151328123596,1021.39142582441,2000,4.26872797244347,0.999499874944181,1.66240717760255,1.00006386000791,NA,NA,0.180745765247204,24.0199999999895,"wildflower"
"6","stan.nuts",3,1101,0.8,105.00999999998,10.6312700946945,2000,2000,9.06160758623212,0.999499875280155,1.01296513807884,0.999698630438065,"diag_e",0.118089513965597,0.101240549420974,105.00999999998,"wildflower"
"7","jags",4,1101,0.5,24.2000000000116,5.56343498573589,1502.27137340356,2000,5.96594947801219,0.999499876044614,1.76584269980343,0.999917192743448,NA,NA,0.229894007674926,24.2000000000116,"wildflower"
"8","stan.nuts",4,1101,0.8,247.410000000003,5.08479986585822,2000,2000,5.84097281006108,0.999499875090511,1.19342615059398,0.999684791303614,"diag_e",0.0466404162107936,0.0205521194206303,247.410000000003,"wildflower"
"9","jags",5,1101,0.5,24.4500000000116,3.60181663925601,1154.10362900487,2000,4.22095566431458,0.999499875146439,2.28725749901476,0.999982796079665,NA,NA,0.147313563977681,24.4500000000116,"wildflower"
"10","stan.nuts",5,1101,0.8,144.640000000014,10.3020907941579,2000,2000,15.3774597939534,0.999499875577812,1.08504392571552,0.999784990870689,"diag_e",0.0762224260254196,0.0712257383445579,144.640000000014,"wildflower"
"11","jags",6,1101,0.5,24.7799999999988,4.20928976566354,1039.47584044311,2000,2.24400555627555,0.9994998755019,1.81901573132207,1.00004240090789,NA,NA,0.169866415079247,24.7799999999988,"wildflower"
"12","stan.nuts",6,1101,0.8,137.149999999994,8.26557147490476,2000,2000,6.85378439316552,0.99949987495325,1.02525909104121,0.999640002654001,"diag_e",0.078880216066542,0.0602666531163333,137.149999999994,"wildflower"
"13","jags",7,1101,0.5,24.5200000000186,4.21163717221432,1074.56928603539,2000,5.09241159998851,0.999499874979901,1.97668627580351,0.999994025702738,NA,NA,0.171763343075494,24.5200000000186,"wildflower"
"14","stan.nuts",7,1101,0.8,119.190000000002,6.94802379399286,2000,2000,8.26274268662511,0.999499875109929,1.8724655510781,0.99970276531205,"diag_e",0.119060850833872,0.0582936806275084,119.190000000002,"wildflower"
"15","jags",8,1101,0.5,24.6000000000058,5.65160605979387,1024.83600629783,2000,10.4153905617313,0.999499874945504,1.7260545246322,0.999937582712004,NA,NA,0.229740083731404,24.6000000000058,"wildflower"
"16","stan.nuts",8,1101,0.8,380.639999999985,3.70750629418452,2000,2000,3.93704305904839,0.999499880264774,2.26141974799684,0.999752786973028,"diag_e",0.0478487355397144,0.0097401909788374,380.639999999985,"wildflower"
"17","jags",9,1101,0.5,24.8600000000151,2.98066696768192,1029.54476400626,2000,2.23066978307092,0.999499878117221,3.34048791839929,1.00004091418082,NA,NA,0.119898108112635,24.8600000000151,"wildflower"
"18","stan.nuts",9,1101,0.8,403.359999999986,9.84882072844496,2000,2000,14.0710187416736,0.999499879034109,1.19940313289049,0.99965068350847,"diag_e",0.0460102966272849,0.0244169494457688,403.359999999986,"wildflower"
"19","jags",10,1101,0.5,23.1999999999825,3.68545385669451,1298.07079536733,2000,3.08049919686121,0.999499875823021,1.67540098103876,0.999910983637716,NA,NA,0.158855769685228,23.1999999999825,"wildflower"
"20","stan.nuts",10,1101,0.8,167.359999999986,8.11400360493623,2000,2000,5.40993211465923,0.999499876312165,1.24875832797083,0.999725108018425,"diag_e",0.0826577148761976,0.0484823351155408,167.359999999986,"wildflower"
