"","platform","seed","Npar","delta.target","time.warmup","time.sampling","minESS","medianESS","Nsims","minESS.coda","metric","eps.final","samples.per.sampling.time","samples.per.time","time.total","model"
"1","jags",1,65,0.5,0.149999999999636,1.35999999999967,21.000321649839,124.834485488222,2000,31.1431158248798,NA,NA,15.4414129778265,13.9074977813567,1.50999999999931,"growth2"
"2","stan.nuts",1,125,0.5,2,3.376,277.323248961285,1108.76775567693,2000,324.211331261074,"diag_e",0.310232222102281,82.1455121330819,51.5854257740485,5.376,"growth2"
"3","stan.nuts",1,125,0.7,3.37,4.628,342.902018343652,1201.25109186383,2000,331.60596114435,"diag_e",0.183592808726398,74.0929166688963,42.8734706606217,7.998,"growth2"
"4","stan.nuts",1,125,0.8,3.966,5.531,440.283550866782,1517.35877653536,2000,433.25674632638,"diag_e",0.178446290865361,79.6028839028715,46.3602770208257,9.497,"growth2"
"5","stan.nuts",1,125,0.9,4.957,7.249,372.264731181356,2000,2000,320.61347750867,"diag_e",0.125540129489581,51.3539427757423,30.4985032919348,12.206,"growth2"
"6","stan.nuts",1,125,0.95,5.46,7.029,374.161210669884,2000,2000,402.551038425446,"diag_e",0.142544633537265,53.231072794122,29.9592610032736,12.489,"growth2"
"7","jags",2,65,0.5,0.159999999999854,1.44000000000051,11.9289212074159,25.269465664675,2000,9.13913199042995,NA,NA,8.28397306070257,7.45557575463326,1.60000000000036,"growth2"
"8","stan.nuts",2,125,0.5,1.992,2.033,65.1127361939827,261.7870596393,2000,78.3605230572121,"diag_e",0.392920047112351,32.0279076212409,16.1770773152752,4.025,"growth2"
"9","stan.nuts",2,125,0.7,3.517,3.695,277.126994001529,1166.61606845716,2000,262.448306127473,"diag_e",0.215916679665678,75.000539648587,38.4258172492414,7.212,"growth2"
"10","stan.nuts",2,125,0.8,4.378,4.346,270.668638113507,1198.41946693362,2000,298.212793226714,"diag_e",0.187603460399644,62.2799443427306,31.0257494398793,8.724,"growth2"
"11","stan.nuts",2,125,0.9,4.688,6.23,354.857955676283,2000,2000,376.87230686756,"diag_e",0.169633925008462,56.9595434472365,32.5021025532408,10.918,"growth2"
"12","stan.nuts",2,125,0.95,5.545,7.323,376.78552261709,2000,2000,461.503799875153,"diag_e",0.129504163961053,51.4523450248655,29.2808146267555,12.868,"growth2"
"13","jags",3,65,0.5,0.140000000000327,1.35999999999967,10.3388954948504,41.8059991114639,2000,18.4844623928573,NA,NA,7.60212904033302,6.89259699656694,1.5,"growth2"
"14","stan.nuts",3,125,0.5,2.015,3.251,169.766172779279,812.81724424737,2000,168.546692436218,"diag_e",0.322481977663803,52.2196778773544,32.2381642193845,5.266,"growth2"
"15","stan.nuts",3,125,0.7,3.355,3.598,299.117401083644,1760.82382640822,2000,331.197340631853,"diag_e",0.230886826951456,83.1343527191896,43.019905232798,6.953,"growth2"
"16","stan.nuts",3,125,0.8,4.22,4.949,288.03125290648,1251.35756963635,2000,317.105673852878,"diag_e",0.183468289165276,58.199889453724,31.4135950383335,9.169,"growth2"
"17","stan.nuts",3,125,0.9,5.159,6.993,457.033018574634,2000,2000,454.456061472211,"diag_e",0.138413282845445,65.3557870119597,37.6096954060759,12.152,"growth2"
"18","stan.nuts",3,125,0.95,5.504,7.5,292.866402422521,1301.19535522657,2000,272.169639327169,"diag_e",0.100265651006105,39.0488536563362,22.5212551847525,13.004,"growth2"
