"","platform","seed","Npar","delta.target","time","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.time","time.total","model"
"1","jags",59189,5,0.5,5.16,947.873081820147,1189.29427812188,20000,1110.22964424789,1.00082078050883,1.00378446998122,1.00141255345209,NA,NA,183.696333686075,5.16,"mvnd"
"2","stan.nuts",59189,5,0.8,1.95,8966.40923006522,9595.3734582063,20000,9004.29707233085,0.999950230096555,1.00055044041132,1.00015002444851,"diag_e",0.274845721944683,4598.15857952063,1.95,"mvnd"
"3","jags",33032,5,0.5,4.99,1000.72689487701,1232.00568651322,20000,1090.29935895599,0.999967683466392,1.00065563117225,1.0001061926696,NA,NA,200.546471919241,4.99,"mvnd"
"4","stan.nuts",33032,5,0.8,2.02999999999999,8741.51178476849,9976.86976868799,20000,8817.57807112961,1.00002212325694,1.00025250010486,1.00021207645573,"diag_e",0.268280337983888,4306.16344077268,2.02999999999999,"mvnd"
"5","jags",19139,5,0.5,5.17,1065.52408131513,1291.72747478799,20000,1081.16110272563,0.999959787622891,1.00212528878665,1.00081405218368,NA,NA,206.097501221495,5.17,"mvnd"
"6","stan.nuts",19139,5,0.8,2.02,7418.06623776422,9783.42786819096,20000,8742.37012503768,0.99995010031395,1.00000180749928,0.999975867389558,"diag_e",0.294111377132802,3672.31001869517,2.02,"mvnd"
"7","jags",78362,5,0.5,5.34,1040.87486453519,1143.43951509448,20000,1024.28933385627,1.00000627076128,1.00099860483395,1.00021570972577,NA,NA,194.920386617077,5.34,"mvnd"
"8","stan.nuts",78362,5,0.8,2.16,8318.60791631031,10282.2880848191,20000,8311.54462161145,0.99995382717497,1.00021950898309,0.999993542409822,"diag_e",0.254605708182566,3851.20736866219,2.16,"mvnd"
"9","jags",61413,5,0.5,5.3,1014.79113154288,1257.55972842469,20000,1026.10499753448,1.00172469612047,1.00499786025509,1.00251207859327,NA,NA,191.470024819411,5.3,"mvnd"
"10","stan.nuts",61413,5,0.8,2.16,7939.51378609904,10251.0195833192,20000,8533.17261552383,0.999961830985596,1.00012196367632,1.00001013189187,"diag_e",0.24458459641874,3675.70082689771,2.16,"mvnd"
"11","jags",72018,5,0.5,5.41,919.074911998286,1399.56785872797,20000,1148.52665428322,0.999950497340644,1.00003097830699,0.999968597737219,NA,NA,169.884456931291,5.41,"mvnd"
"12","stan.nuts",72018,5,0.8,2,8604.7653950892,8895.35219086259,20000,8544.00424916705,0.999957617308281,1.00006345618045,0.999997486687463,"diag_e",0.285965302464749,4302.3826975446,2,"mvnd"
"13","jags",66788,5,0.5,5.19,1141.10170683874,1339.91845497505,20000,1146.33948822742,1.00000746109372,1.00123672709822,1.00019568538205,NA,NA,219.86545411151,5.19,"mvnd"
"14","stan.nuts",66788,5,0.8,1.97,8659.27019912915,9151.47252412489,20000,8440.82572680245,0.999955234741089,1.00019291911669,0.999968944724195,"diag_e",0.300627878702285,4395.56862899957,1.97,"mvnd"
"15","jags",19639,5,0.5,5.16,1096.30265448812,1267.8991472816,20000,1062.2322626207,0.999950143739171,1.00087502422139,0.999954066522358,NA,NA,212.461754745759,5.16,"mvnd"
"16","stan.nuts",19639,5,0.8,2.01000000000002,8587.49542476696,9539.62520267018,20000,8482.88296991445,0.999949999622659,1.00000399553856,0.99998510215587,"diag_e",0.288386218767646,4272.38578346611,2.01000000000002,"mvnd"
"17","jags",68716,5,0.5,5.16,1035.39933090669,1475.70066977382,20000,1181.5234912175,1.00001128100044,1.00156501754063,1.00013515872785,NA,NA,200.658785059436,5.16,"mvnd"
"18","stan.nuts",68716,5,0.8,2.09,8710.23273580578,10251.0023698525,20000,8671.50577848877,0.999950179812486,1.00000683221954,0.999965780639661,"diag_e",0.255029686819159,4167.5754716774,2.09,"mvnd"
"19","jags",34163,5,0.5,5.21000000000001,1303.77270740148,1421.76279758509,20000,1245.19009625788,0.999950217492614,1.0001330849036,1.00007660473143,NA,NA,250.244281650955,5.21000000000001,"mvnd"
"20","stan.nuts",34163,5,0.8,2.06,8556.96387685021,9546.54875439791,20000,8409.38317535776,0.999951815911451,1.00037792741416,1.00003995494093,"diag_e",0.262683881408228,4153.86595963602,2.06,"mvnd"
