"","platform","seed","Npar","delta.target","time.warmup","time.sampling","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.sampling.time","samples.per.time","time.total","model"
"1","jags",1,1637,0.5,3.46000000000095,22.4599999999991,3.47629349519718,1863.16914341407,2000,4.54822152159968,0.999499874968794,2.67332010604367,1.00382290058619,NA,NA,0.15477709239525,0.13411626138878,25.9200000000001,"quantgene_nc"
"2","stan.nuts",1,1637,0.8,212.07,98.678,5.38024007003734,2000,2000,5.02641007977331,0.999499889761964,1.23992399670749,1.0020473033887,"diag_e",0.0952253340184242,0.0545231973695995,0.0173138365171693,310.748,"quantgene_nc"
"3","stan.nuts",1,1637,0.9,222.365,178.579,16.2578943081791,2000,2000,10.5827539493443,0.99949987495143,1.01131844346207,0.999789913284791,"diag_e",0.0410164863239981,0.0910403480150472,0.0405490400359629,400.944,"quantgene_nc"
"4","stan.nuts",1,1637,0.95,266.62,177.68,18.284389510062,2000,2000,8.73122662982628,0.999499874951137,1.03056745571168,1.00009361161599,"diag_e",0.0451053524263347,0.102906289453298,0.0411532512042809,444.3,"quantgene_nc"
"5","jags",2,1637,0.5,3.53000000000065,22.2799999999988,5.2223968659117,1802.71764176956,2000,5.0532882774952,0.999499875267626,1.42789495671939,1.00259608004909,NA,NA,0.234398423066067,0.202340056796273,25.8099999999995,"quantgene_nc"
"6","stan.nuts",2,1637,0.8,208.401,113.333,11.7886258956698,2000,2000,8.17224773369878,0.999499891926042,1.13718256956176,1.0017776641361,"diag_e",0.0591334685829924,0.104017593248831,0.0366409080037228,321.734,"quantgene_nc"
"7","stan.nuts",2,1637,0.9,227.718,106.255,9.41570638074527,2000,2000,14.0197546732007,0.999499879900766,1.26786316677703,1.00221177521275,"diag_e",0.0931687368590756,0.0886142429132302,0.0281930167431058,333.973,"quantgene_nc"
"8","stan.nuts",2,1637,0.95,253.966,170.758,20.1487892878949,2000,2000,13.9906624159297,0.999499874937826,1.02276667345816,0.999782955239197,"diag_e",0.0542761163532471,0.117996165848129,0.0474397238863235,424.724,"quantgene_nc"
"9","jags",3,1637,0.5,3.5,21.4200000000019,13.7349216875174,1832.26377729427,2000,5.95360739213307,0.999499874937868,1.01037462964187,0.999720713885247,NA,NA,0.64121949988404,0.551160581361008,24.9200000000019,"quantgene_nc"
"10","stan.nuts",3,1637,0.8,216.077,742.532,7.320471406468,2000,2000,4.52388521885397,0.999499903419033,1.14183002053256,1.00168165479345,"diag_e",0.016650457786177,0.00985879585858657,0.00763655610000324,958.609,"quantgene_nc"
"11","stan.nuts",3,1637,0.9,217.667,210.542,21.8723227246493,2000,2000,16.2746890765545,0.999499874961739,1.04582025212112,1.00000121001943,"diag_e",0.0433376277636956,0.103885793450472,0.0510786151730798,428.209,"quantgene_nc"
"12","stan.nuts",3,1637,0.95,268.404,250.95,3.31325085811055,1382.81883421013,2000,1.2673218620547,0.999499875081065,2.00796147068484,1.01104403926254,"diag_e",0.0293420318601906,0.0132028326683026,0.00637956164410122,519.354,"quantgene_nc"
