"","model","jags","stan.nuts"
"1","growth_nc",9.34612217655017,47.5927710746737
"2","growth_nct",9.21558833273981,38.0575292247206
"3","growth",8.83510898632375,5.00425404012753
"4","growth_t",6.88416551760306,6.32044259982162
"5","growth2",9.23699449974201,47.4587778802305
"6","mvn",144.537992979492,1760.83747753714
