"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","nsteps.mean","nsteps.median","nsteps.sd","metric","lambda","L","model"
"39","HMC0.1",2,5,200,0.945077048649578,0.95,0.12191404467795,0.012191404467795,NA,NA,"diag_e",0.1,0.012191404467795,"mvn"
"40","HMC0.1",2,5,200,0.945077048649578,0.95,0.12191404467795,0.012191404467795,NA,NA,"dense_e",0.1,0.012191404467795,"mvn"
"41","HMC1",2,5,200,0.0248533915564684,0.3,0.525626418727307,0.525626418727307,NA,NA,"diag_e",1,0.525626418727307,"mvn"
"42","HMC1",2,5,200,0.0248533915564684,0.3,0.525626418727307,0.525626418727307,NA,NA,"dense_e",1,0.525626418727307,"mvn"
"43","HMC1",2,5,200,0.434400463877162,0.5,0.277824285927988,0.277824285927988,NA,NA,"diag_e",1,0.277824285927988,"mvn"
"44","HMC1",2,5,200,0.434400463877162,0.5,0.277824285927988,0.277824285927988,NA,NA,"dense_e",1,0.277824285927988,"mvn"
"45","HMC1",2,5,200,0.957715084886904,0.8,0.158857910850807,0.158857910850807,NA,NA,"diag_e",1,0.158857910850807,"mvn"
"46","HMC1",2,5,200,0.957715084886904,0.8,0.158857910850807,0.158857910850807,NA,NA,"dense_e",1,0.158857910850807,"mvn"
"47","HMC1",2,5,200,0.946984422833949,0.95,0.13731672967828,0.13731672967828,NA,NA,"diag_e",1,0.13731672967828,"mvn"
"48","HMC1",2,5,200,0.946984422833949,0.95,0.13731672967828,0.13731672967828,NA,NA,"dense_e",1,0.13731672967828,"mvn"
"49","NUTS",3,5,200,0.0892374212036494,0.3,0.432655098204144,2.58,3,1.20755199398693,"diag_e",NA,NA,"mvn"
"50","NUTS",3,5,200,0.0892374212036494,0.3,0.432655098204144,2.58,3,1.20755199398693,"dense_e",NA,NA,"mvn"
"51","NUTS",3,5,200,0.631092206874883,0.5,0.276702107153608,21.14,16,12.9747384707299,"diag_e",NA,NA,"mvn"
"52","NUTS",3,5,200,0.631092206874883,0.5,0.276702107153608,21.14,16,12.9747384707299,"dense_e",NA,NA,"mvn"
