"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","nsteps.mean","nsteps.median","nsteps.sd","metric","model","cor"
"43","NUTS",1,5,20000,0.907494972799039,0.8,0.551681925438767,5.1824,3,2.86320625086694,"diag_e","mvnc",0.495
"44","NUTS",2,5,20000,0.913768629095559,0.8,0.524732128182641,5.291,3,2.8476885245745,"diag_e","mvnc",0.495
"45","NUTS",3,5,20000,0.905195052699178,0.8,0.554609214581222,5.0192,3,2.90111582107656,"diag_e","mvnc",0.495
"46","NUTS",4,5,20000,0.89859412225635,0.8,0.567527579340315,4.9166,3,2.84911498287074,"diag_e","mvnc",0.495
"47","NUTS",5,5,20000,0.904332921835864,0.8,0.565862104335626,5.0752,3,2.85880433682049,"diag_e","mvnc",0.495
"48","NUTS",6,5,20000,0.886300915723349,0.8,0.590663957372852,4.4692,3,2.54285232953016,"diag_e","mvnc",0.495
"49","NUTS",1,5,20000,0.905850492068117,0.8,0.389964503729891,6.0378,3,4.10427285466824,"diag_e","mvnc",0.7425
"50","NUTS",2,5,20000,0.915040131649935,0.8,0.387688752511699,6.388,7,4.17305612707809,"diag_e","mvnc",0.7425
"51","NUTS",3,5,20000,0.908520738765158,0.8,0.393154334696495,6.11,3,4.11591959097939,"diag_e","mvnc",0.7425
"52","NUTS",4,5,20000,0.892550398800628,0.8,0.424036570955485,5.4628,3,3.72129022787742,"diag_e","mvnc",0.7425
"53","NUTS",5,5,20000,0.918683852148417,0.8,0.381720914432451,6.4938,7,4.18180706286542,"diag_e","mvnc",0.7425
"54","NUTS",6,5,20000,0.896532737106548,0.8,0.412553652106875,5.6128,3,3.88035847289755,"diag_e","mvnc",0.7425
"55","NUTS",1,5,20000,0.878540885629106,0.8,0.0951120372987527,9.342,3,13.317446130439,"diag_e","mvnc",0.99
"56","NUTS",2,5,20000,0.900070415329197,0.8,0.0789669189885299,13.2872,3,17.1159928686941,"diag_e","mvnc",0.99
"57","NUTS",3,5,20000,0.880242809340396,0.8,0.0969556885923785,9.189,3,13.1352781680958,"diag_e","mvnc",0.99
"58","NUTS",4,5,20000,0.887986714028955,0.8,0.0872571481353877,10.9054,3,14.9196819849169,"diag_e","mvnc",0.99
"59","NUTS",5,5,20000,0.905756437264286,0.8,0.0798165160580745,14.4248,3,17.7513226522868,"diag_e","mvnc",0.99
"60","NUTS",6,5,20000,0.917354124700994,0.8,0.068168417967258,15.2806,7,18.791470819964,"diag_e","mvnc",0.99
"61","NUTS",1,20,20000,0.898885354360167,0.8,0.556176884351671,6.8288,7,0.80966419928978,"diag_e","mvnc",0
"62","NUTS",2,20,20000,0.897432160766435,0.8,0.5562426873693,6.8388,7,0.786687007420845,"diag_e","mvnc",0
"63","NUTS",3,20,20000,0.842630902636114,0.8,0.664489167002455,5.814,7,1.82694766585619,"diag_e","mvnc",0
